Method,SSIM,PSNR
GT Slice,1.0,100.0
Full Scan Reconstruction,0.25122037069893394,68.7295930909417
Train Set Reconstruction,0.17866734671116336,58.613869209313386
LERP Reconstruction,0.16617140480158632,59.09551602824791
NeRF Reconstruction,0.12780909395975096,54.275432686956094
Biharmonic Reconstruction,0.17620674399619154,57.296918557258365
NS Reconstruction,0.16434605958478704,56.73268050927185
FMM Reconstruction,0.16500549349933757,56.89460515416826
TV Reconstruction,0.1235806464582957,56.122224201079945
GS Reconstruction,0.9734862349693603,74.17240545718612
