Method,SSIM,PSNR
GT Slice,1.0,100.0
Full Scan Reconstruction,0.5867980602814176,65.11562199328176
Train Set Reconstruction,0.5607393833824951,63.27442157353799
LERP Reconstruction,0.5837873116622295,65.84170003696042
NeRF Reconstruction,0.5609749301181627,63.03560069940644
Biharmonic Reconstruction,0.5855088663489435,65.829334013779
NS Reconstruction,0.5677296671524813,64.72992454529191
FMM Reconstruction,0.5483878140909734,62.58474855538185
TV Reconstruction,0.5782566447143235,63.87597988732899
GS Reconstruction,0.7765713255386666,58.30075272665485
