Method,SSIM,PSNR
GT Slice,1.0,100.0
Full Scan Reconstruction,0.22148910887519832,63.07305801841515
Train Set Reconstruction,0.1884940301367813,59.390091817966905
LERP Reconstruction,0.17527250388948526,58.7600110632886
NeRF Reconstruction,0.17772919935149817,56.902443470264295
Biharmonic Reconstruction,0.19938788990895887,60.94209225673043
NS Reconstruction,0.17288793214054055,57.56390679269288
FMM Reconstruction,0.1929034760412725,59.93425863464006
TV Reconstruction,0.14183471079334267,53.96522225537376
GS Reconstruction,0.2111632749714367,63.314731707292125
