Method,SSIM,PSNR
GT Slice,1.0,100.0
Full Scan Reconstruction,0.2819619325452778,70.58950676573897
Train Set Reconstruction,0.2597754632978429,67.95287142756749
LERP Reconstruction,0.27164720651661317,70.38423407294185
NeRF Reconstruction,0.2586332011699566,66.93261199155573
Biharmonic Reconstruction,0.27494213111074856,70.61445305837164
NS Reconstruction,0.2737437116681828,70.43453246363056
FMM Reconstruction,0.2598807031331091,68.63038312984271
TV Reconstruction,0.26956686067061186,69.77729330676149
GS Reconstruction,0.27229118608228176,69.32210669150608
